Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
Firebase vs MySQL database (hierarchical/relational);;;;
How to denormalize/normalize data structure for firebase realtime database?;;;;
Solution to Bulk FindAndModify in MongoDB;;;;
What is the best way to store single non-repeating data to a database?;A table would be fine, no reason why not to use it just because it will have only one row.;;;4
Any Open Source software using Orient DB database? Have you any experiences with that database? [closed];;;;
MongoDB / NOSQL: Best approach to handling read/unread status on messages;If you're only storing a simple boolean value, like read/unread, another method is to embedded an array in each Document that contains a list of the Users who have read it.;;;5
Best XML Based Database [closed];You are right in saying that RDBMS would not serve the purpose even if it does support XML datatype these days. I have extensively worked in MarkLogic, and so far it is the best noSQL XMl DB you can have. I have also tried eXist, however it is not much scalable for production usage. MarkLogic gives agility in developement as well with integrated app servers and search engine. Currently it is serving terabytes of XML data in some huge publishing houses.;;;2
Storing very large documents in MongoDB;;;;
Need a complete example for DynamoDB with php;"You can Follow Example :
http://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSILowLevelPHP.Example.html";;;3
Example of a task that a NoSQL database can't handle (if any);Good question.  First a clarification.  While the field of relational stores is held together by a rather solid foundation of principles, with each vendor choosing to add value in features or pricing, the non-relational (nosql) field is far more heterogeneous.;;;11
mongodb not using indexes when sorting?;It is using an index -- the index on msgid. MongoDB chooses an index to use for a query by trying all possible indexes, and using whichever one finishes first. This result is cached for 1,000 queries, or until a certain number of modifications to the collection are made (data changes, new indexes, etc).;;;1
How to return only value of a field in mongodb;At first     db.users.find(...).map() didn't work because db.users.find(...) doesn't return you a real array.;mohamedriasmohamedrias;            17.7k22 gold badges3434 silver badges4646 bronze badges;8
Microsoft Cosmos DB (DocumentDB API) vs. Cosmos DB (Table API);Choosing between DocumentDB API and Table API will primarily depend on the kind of data that you're going to store. DocumentDB API provides a schema-less JSON database engine with SQL querying capabilities whereas Table API provides a key-value storage database service. Since you mentioned that your data is key-value based, recommended is that you use Table API.;;;8
Can't connect to MongoDB through PHP;"any server start method, such as ""/etc/init.d/mongodb start"" or ""service start mongodb"" will fail, if a stale lock file still exists. In Ubuntu/Debian this is /var/lib/mongodb/mongod.lock. Look for this and delte it, if it exists and seems to be an old one.";;;8
How do you clone ( duplicate ) a MongoDB object in a collection of the same db?;"Do not delete the _id property; for some reason some values lose their type. For example, integers are converted to doubles.";Ferran MaylinchFerran Maylinch;            9,9111414 gold badges7575 silver badges9292 bronze badges;8
mongo $unwind and $group;;;;
RavenDB ASP.NET session provider?;Not as far as I know. RavenDB is pretty active project and Memcached has been practically dead for 2 yr and remained 32-bit. You might be better off just running RavenDB under IIS;ZXXZXX;            4,5562525 silver badges3434 bronze badges;3
Is creating multiple PouchDB databases on the same application considered bad design?;;;;
Which, if any, of the NoSQL databases can provide stream of *changes* to a query result set?;Although an answer has been accepted, there is another answer that gets to the heart of the assumptions underneath your question.;;;5
"How to implement ""trigger"" for redis datastore?";Since Redis 2.8 (released 22 Nov 2013), there is now a feature called Keyspace Notifications which lets clients subscribe to special Pub/Sub channels for keyspace events, which you can use as a trigger on a certain key.;;;3
Mongoose: populate() / DBref or data duplication?;"Populate() is just a query. So the overhead is whatever the query is, which is a find() on your model.
Also, best practice for MongoDB is to embed what you can. It will result in a faster query. It sounds like you'd be duplicating a ton of data though, which puts relations(linking) at a good spot.";Chris BiscardiChris Biscardi;            3,08822 gold badges1818 silver badges1818 bronze badges;3
Update many documents in mongoDB with different values;;;;
Changing schemas in mongoDB/mongoose;;;;
How to translate from SQL to NoSQL/MapReduce?;;;;
NoSQL Database for ECommerce;Check the comparison of different available NoSql databases here. Suit your requirement as per that.;;;2
How to get the exact number of keys in leveldb fast?;"Probably when LevelDB was built, this API was not required for the original authors.
Sadly LevelDB does not have an increment API which you can use to record counting. What you can do right now is read and write a key in Leveldb, but this is not thread safe.";;;1
What is the difference between Orientdb editions?;The current version of OrientDB (1.6.0) implements the Blueprints graph database API (previously it also had its own low-level db api). If you write your client code in a Rexster binding (such as Bulbs in Python), it should be easy to change to any other graph database engine later on;;;1
